[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000260s ]
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000343s ]
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Tag[ view_template ] --START--
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001529s ]
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001615s ]
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Run ParseTemplate Behavior [ RunTime:0.058039s ]
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.058139s ]
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Run ContentReplace Behavior [ RunTime:0.001092s ]
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Run TokenBuild Behavior [ RunTime:0.000543s ]
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000197s ]
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000258s ]
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002256s ]
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 120 行.
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 121 行.
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 122 行.
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Tag[ view_end ] --START--
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000430s ]
[ 2013-04-08T18:24:37+08:00 ] /SScms/install.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000487s ]
[ 2013-04-08T18:24:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ app_begin ] --START--
[ 2013-04-08T18:24:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000253s ]
